"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174461,"Tarleton St.","UIW",2,3,0,1
6174463,"Louisville","Washington St.",3,0,1,0
6174464,"New Mexico St.","Denver",3,0,1,0
6174465,"UTRGV","Pittsburgh",0,3,0,1
6174466,"Lipscomb","Utah St.",1,3,0,1
6174467,"Cal St. Fullerton","Kansas St.",0,3,0,1
6174468,"Idaho","UC Riverside",3,0,1,0
6174469,"UConn","Florida St.",0,3,0,1
6174470,"Alabama St.","Xavier",0,3,0,1
6174471,"Arizona St.","Ole Miss",3,0,1,0
6174472,"Southern California","Southern Miss.",3,0,1,0
6174473,"Niagara","Robert Morris",1,3,0,1
6174474,"Duke","Creighton",3,2,1,0
6174475,"High Point","Ohio",1,3,0,1
6174477,"South Alabama","Tulane",3,0,1,0
6174478,"Western Mich.","Villanova",3,1,1,0
6174479,"UC Irvine","San Francisco",1,3,0,1
6174480,"Missouri","Colgate",3,2,1,0
6174481,"Colorado","North Texas",3,0,1,0
6174482,"Campbell","UNLV",1,3,0,1
6174483,"Washington St.","Troy",3,0,1,0
6174484,"Clemson","Wofford",3,0,1,0
6174485,"Mississippi St.","Louisiana",3,2,1,0
6174486,"Iowa St.","DePaul",3,0,1,0
6174487,"Wake Forest","Grand Canyon",3,1,1,0
6174488,"UAB","Florida A&M",3,2,1,0
6174489,"Boston College","Sacred Heart",3,0,1,0
6174490,"UAlbany","UCF",0,3,0,1
6174491,"Sacramento St.","Cal Poly",0,3,0,1
6174492,"Portland St.","San Diego St.",3,0,1,0
6174493,"FGCU","St. John's (NY)",2,3,0,1
6174494,"Northern Ky.","Bowling Green",0,3,0,1
6174495,"Temple","Lehigh",3,0,1,0
6174496,"UC Santa Barbara","North Florida",3,0,1,0
6174497,"Texas Tech","Abilene Christian",3,1,1,0
6174498,"James Madison","UMBC",3,1,1,0
6174499,"Louisville","Wright St.",3,1,1,0
6174500,"Arkansas","Tulsa",3,0,1,0
6174501,"George Mason","Howard",2,3,0,1
6174502,"Delaware","Robert Morris",3,1,1,0
6174503,"Cincinnati","Indiana St.",3,0,1,0
6174504,"San Jose St.","Santa Clara",0,3,0,1
6174505,"American","Georgetown",2,3,0,1
6174506,"Long Beach St.","LMU (CA)",0,3,0,1
6174507,"Hawaii","Oregon",0,3,0,1
6174508,"Idaho St.","Boise St.",0,3,0,1
6174509,"Houston","McNeese",3,0,1,0
6174510,"NIU","Chicago St.",1,3,0,1
6174511,"Northwestern St.","UCLA",0,3,0,1
6174513,"Miami (FL)","Fla. Atlantic",3,1,1,0
6174514,"Western Ky.","Belmont",3,0,1,0
6174515,"Temple","Delaware St.",3,0,1,0
6174517,"Rice","Louisiana",0,3,0,1
6174518,"Grambling","ULM",3,2,1,0
6174519,"Iona","Hofstra",0,3,0,1
6174520,"Abilene Christian","Tex. A&M-Commerce",3,0,1,0
6174522,"Pacific","UC Davis",3,1,1,0
6174523,"North Texas","Texas Southern",3,0,1,0
6174524,"Stanford","Florida",0,3,0,1
6174525,"Northern Colo.","Colorado St.",3,2,1,0
6174526,"South Carolina St.","Charleston So.",0,3,0,1
6174527,"Old Dominion","William & Mary",3,1,1,0
6174528,"The Citadel","Col. of Charleston",3,1,1,0
6174530,"Evansville","Southern Ind.",3,1,1,0
6174531,"Central Conn. St.","NJIT",0,3,0,1
6174533,"Utah St.","Utah",3,0,1,0
6174534,"New Hampshire","Boston College",3,1,1,0
6174535,"CSUN","Fresno St.",3,0,1,0
6174536,"South Carolina","Clemson",3,1,1,0
6174537,"Villanova","UMES",3,0,1,0
6174538,"BYU","LMU (CA)",3,0,1,0
6174539,"Furman","UNC Asheville",3,0,1,0
6174540,"Stonehill","Bryant",1,3,0,1
6174541,"UCF","FIU",3,0,1,0
6174542,"Binghamton","Montana",2,3,0,1
6174543,"Texas A&M","Wright St.",3,2,1,0
6174544,"High Point","Liberty",2,3,0,1
6174545,"Seton Hall","NJIT",3,0,1,0
6174546,"Pepperdine","UC Santa Barbara",2,3,0,1
6174547,"UTEP","San Francisco",3,1,1,0
6174548,"North Carolina","West Virginia",3,0,1,0
6174549,"NC State","Howard",3,1,1,0
6174550,"Buffalo","DePaul",3,0,1,0
6174551,"SFA","Cal Poly",3,0,1,0
6174552,"Coastal Carolina","TCU",3,1,1,0
6174553,"Toledo","Youngstown St.",1,3,0,1
6174554,"Missouri St.","Kansas City",2,3,0,1
6174555,"Lipscomb","Ole Miss",2,3,0,1
6174556,"IUPUI","UC Riverside",3,2,1,0
6174557,"Marshall","Morehead St.",0,3,0,1
6174558,"Chicago St.","UC Irvine",1,3,0,1
6174559,"Morgan St.","Towson",0,3,0,1
6174560,"Northern Colo.","Colorado",0,3,0,1
6174561,"New Mexico","CSU Bakersfield",3,1,1,0
6174562,"Duke","Loyola Maryland",3,1,1,0
6174563,"San Diego St.","Oregon",1,3,0,1
6174564,"Texas St.","North Texas",3,2,1,0
6174565,"Houston Christian","Prairie View",3,0,1,0
6174566,"East Carolina","Campbell",3,0,1,0
6174567,"Bowling Green","Loyola Chicago",3,2,1,0
6174568,"Utah St.","Weber St.",3,1,1,0
6174569,"Hawaii","Southern California",3,2,1,0
6174570,"San Diego","Tennessee",1,3,0,1
6174571,"St. Thomas (MN)","Montana St.",1,3,0,1
6174572,"Sacred Heart","Fairfield",0,3,0,1
6174573,"BYU","McNeese",3,0,1,0
6174574,"Grambling","Providence",1,3,0,1
6174575,"Dartmouth","Temple",2,3,0,1
6174576,"Milwaukee","California Baptist",1,3,0,1
6174577,"Eastern Ill.","Oral Roberts",3,0,1,0
6174578,"Wofford","South Carolina St.",3,0,1,0
6174579,"Jacksonville","Northern Ariz.",3,0,1,0
6174580,"Ga. Southern","George Washington",3,0,1,0
6174581,"Valparaiso","Western Ill.",3,0,1,0
6174582,"Houston Christian","Penn",3,0,1,0
6174583,"UTSA","Lamar University",3,0,1,0
6174585,"N.C. A&T","Southern Ill.",2,3,0,1
6174586,"Nevada","Pacific",0,3,0,1
6174587,"Western Mich.","UAB",3,0,1,0
6174588,"Jacksonville St.","Southeast Mo. St.",0,3,0,1
6174589,"Georgia","North Florida",3,0,1,0
6174590,"Akron","Morehead St.",3,1,1,0
6174591,"Murray St.","Southern Ind.",3,0,1,0
6174592,"Tex. A&M-Commerce","Wyoming",0,3,0,1
6174593,"Saint Louis","Bradley",3,1,1,0
6174594,"Portland","San Jose St.",1,3,0,1
6174595,"Air Force","UC San Diego",3,2,1,0
6174596,"Ark.-Pine Bluff","UT Martin",0,3,0,1
6174597,"FGCU","Mercer",3,0,1,0
6174598,"Tennessee Tech","ETSU",3,0,1,0
6174599,"Fla. Atlantic","Cleveland St.",3,0,1,0
6174600,"Memphis","Virginia Tech",0,3,0,1
6174601,"VCU","Iona",3,0,1,0
6174602,"Duquesne","Canisius",3,1,1,0
6174603,"Portland St.","Southern Utah",3,0,1,0
6174604,"Butler","North Dakota St.",2,3,0,1
6174605,"App State","Bethune-Cookman",3,0,1,0
6174606,"Southern Miss.","Nicholls",3,0,1,0
6174607,"NJIT","George Mason",1,3,0,1
6174608,"Western Ky.","Colgate",3,1,1,0
6174609,"Eastern Wash.","Seattle U",3,1,1,0
6174610,"UIC","SIUE",3,0,1,0
6174611,"Sacramento St.","Cal St. Fullerton",3,0,1,0
6174612,"Charleston So.","Chattanooga",0,3,0,1
6174613,"Washington St.","Northwestern St.",3,0,1,0
6174614,"Presbyterian","UIW",0,3,0,1
6174615,"Louisville","Northern Ky.",3,0,1,0
6174616,"Coppin St.","UNC Greensboro",3,1,1,0
6174617,"Florida A&M","The Citadel",2,3,0,1
6174618,"Drake","Tulsa",3,0,1,0
6174619,"Indiana St.","ULM",3,1,1,0
6174620,"Marist","UMES",3,0,1,0
6174621,"Central Mich.","UAlbany",3,0,1,0
6174622,"Bellarmine","New Orleans",3,0,1,0
6174623,"Arkansas St.","Prairie View",3,0,1,0
6174624,"Elon","Georgia St.",0,3,0,1
6174625,"Stetson","Col. of Charleston",3,0,1,0
6174626,"South Fla.","Idaho St.",3,1,1,0
6174627,"Brown","Le Moyne",3,0,1,0
6174628,"Grand Canyon","LIU",3,0,1,0
6174629,"Utah Tech","St. John's (NY)",1,3,0,1
6174630,"Little Rock","Southeastern La.",1,3,0,1
6174631,"UC Riverside","Eastern Ill.",0,3,0,1
6174632,"Oakland","Eastern Mich.",3,1,1,0
6174633,"Lindenwood","Austin Peay",0,3,0,1
6174634,"Delaware","Tarleton St.",3,2,1,0
6174635,"Loyola Chicago","Wright St.",0,3,0,1
6174636,"DePaul","Binghamton",3,1,1,0
6174637,"Green Bay","South Alabama",1,3,0,1
6174638,"Cincinnati","Kennesaw St.",3,1,1,0
6174639,"Howard","Winthrop",3,2,1,0
6174640,"Radford","Georgetown",1,3,0,1
6174641,"Saint Peter's","NJIT",0,3,0,1
6174642,"Mercer","Idaho St.",3,0,1,0
6174643,"Oregon St.","Oklahoma",3,0,1,0
6174644,"Abilene Christian","Providence",3,2,1,0
6174645,"Grambling","North Dakota",1,3,0,1
6174646,"CSU Bakersfield","Utah Tech",1,3,0,1
6174647,"Presbyterian","Louisiana Tech",2,3,0,1
6174648,"Penn","UTRGV",0,3,0,1
6174649,"Coppin St.","Morehead St.",3,0,1,0
6174650,"Arizona St.","UTEP",3,1,1,0
6174651,"Alabama A&M","Sam Houston",1,3,0,1
6174652,"Alabama St.","Wake Forest",1,3,0,1
6174653,"Milwaukee","Montana St.",3,1,1,0
6174654,"Idaho","UC San Diego",0,3,0,1
6174655,"Kansas City","Ark.-Pine Bluff",3,0,1,0
6174656,"FDU","Rider",3,0,1,0
6174657,"LSU","UNI",0,3,0,1
6174658,"Eastern Ky.","Fla. Atlantic",3,1,1,0
6174659,"High Point","Yale",3,1,1,0
6174660,"SFA","Nicholls",3,0,1,0
6174661,"Bryant","Siena",3,0,1,0
6174662,"Holy Cross","New Hampshire",0,3,0,1
6174663,"Loyola Maryland","West Virginia",3,1,1,0
6174664,"Chattanooga","Southern Ill.",2,3,0,1
6174666,"Kent St.","South Dakota St.",3,2,1,0
6174667,"NIU","UNCW",3,2,1,0
6174668,"Campbell","App State",2,3,0,1
6174669,"Cornell","Niagara",3,1,1,0
6174670,"Stony Brook","Purdue Fort Wayne",1,3,0,1
6174671,"Murray St.","New Orleans",3,0,1,0
6174672,"Cal Poly","Southern Miss.",3,2,1,0
6174673,"Quinnipiac","Virginia",1,3,0,1
6174674,"Lamar University","Tarleton St.",0,3,0,1
6174676,"Houston","North Texas",3,1,1,0
6174677,"Colgate","James Madison",1,3,0,1
6174678,"George Washington","Stetson",0,3,0,1
6174679,"Youngstown St.","Memphis",3,2,1,0
6174680,"Marist","Central Conn. St.",3,2,1,0
6174681,"Seattle U","Pacific",0,3,0,1
6174682,"Louisiana","Tex. A&M-Commerce",3,0,1,0
6174683,"Lehigh","Merrimack",3,0,1,0
6174684,"Arizona","Iowa St.",1,3,0,1
6174685,"Elon","South Carolina St.",3,0,1,0
6174686,"Clemson","Western Caro.",3,0,1,0
6174687,"Seton Hall","George Mason",3,1,1,0
6174688,"Chicago St.","Jacksonville St.",3,0,1,0
6174689,"Weber St.","LMU (CA)",0,3,0,1
6174691,"TCU","Georgia",3,0,1,0
6174692,"Ohio","Butler",3,1,1,0
6174693,"Belmont","Delaware St.",3,0,1,0
6174694,"UAlbany","Bradley",0,3,0,1
6174695,"Cal St. Fullerton","Portland",2,3,0,1
6174696,"Austin Peay","Indiana St.",3,2,1,0
6174697,"Texas Southern","A&M-Corpus Christi",0,3,0,1
6174698,"Bowling Green","Texas A&M",0,3,0,1
6174699,"Gonzaga","Air Force",2,3,0,1
6174700,"Buffalo","Montana",3,1,1,0
6174701,"Valparaiso","Eastern Mich.",3,2,1,0
6174702,"Missouri St.","UT Martin",3,2,1,0
6174703,"Creighton","Ball St.",3,2,1,0
6174704,"IUPUI","Oral Roberts",3,0,1,0
6174705,"Brown","Rhode Island",3,0,1,0
6174706,"Marshall","UNC Greensboro",3,1,1,0
6174707,"Fresno St.","CSUN",3,2,1,0
6174708,"Missouri","Northern Ky.",3,0,1,0
6174709,"Sacred Heart","UMBC",0,3,0,1
6174710,"Morgan St.","Dartmouth",3,1,1,0
6174711,"UNC Asheville","Furman",0,3,0,1
6174712,"Army West Point","Liberty",0,3,0,1
6174713,"Florida St.","SMU",0,3,0,1
6174714,"N.C. Central","Gardner-Webb",3,2,1,0
6174715,"Mississippi Val.","LeMoyne-Owen",3,0,1,0
6174716,"Charlotte","Northern Colo.",0,3,0,1
6174717,"Western Mich.","SIUE",3,1,1,0
6174718,"Cincinnati","ETSU",3,1,1,0
6174719,"Florida A&M","Northern Ariz.",3,2,1,0
6174720,"Ole Miss","Tennessee St.",3,0,1,0
6174721,"UC Davis","McNeese",3,1,1,0
6174722,"Iona","Radford",2,3,0,1
6174723,"New Mexico","St. John's (NY)",3,0,1,0
6174724,"Houston Christian","Arkansas St.",3,1,1,0
6174725,"Ga. Southern","Col. of Charleston",3,1,1,0
6174726,"Toledo","Virginia Tech",2,3,0,1
6174727,"San Diego St.","Pepperdine",0,3,0,1
6174728,"Kansas St.","Omaha",3,0,1,0
6174729,"Tulane","Alabama",0,3,0,1
6174730,"UT Arlington","UIW",3,0,1,0
6174731,"Eastern Wash.","Nevada",0,3,0,1
6174732,"East Carolina","Bethune-Cookman",3,0,1,0
6174733,"Dayton","North Dakota St.",3,1,1,0
6174734,"Bucknell","William & Mary",1,3,0,1
6174735,"Saint Mary's (CA)","Southern Utah",3,1,1,0
6174736,"UIC","UAB",3,0,1,0
6174737,"Coastal Carolina","North Florida",0,3,0,1
6174738,"Texas Tech","Wyoming",1,3,0,1
6174739,"Baylor","Rice",3,1,1,0
6174740,"Villanova","Notre Dame",0,3,0,1
6174741,"California","Portland St.",3,1,1,0
6174742,"Sacramento St.","San Jose St.",3,1,1,0
6174743,"Wofford","Georgia St.",3,0,1,0
6174744,"Utah","UNLV",3,1,1,0
6174745,"Charleston So.","N.C. A&T",3,2,1,0
6174746,"UCF","Mississippi St.",3,1,1,0
6174747,"American","UMES",3,0,1,0
6174748,"Miami (OH)","Cleveland St.",2,3,0,1
6174749,"South Fla.","FGCU",1,3,0,1
6174750,"St. Thomas (MN)","California Baptist",3,1,1,0
6174751,"Towson","FDU",3,1,1,0
6174752,"Navy","Utah Valley",3,0,1,0
6174753,"Kentucky","Pittsburgh",0,3,0,1
6174754,"Abilene Christian","North Dakota",3,0,1,0
6174755,"South Carolina","Miami (FL)",3,2,1,0
6174756,"Davidson","Queens (NC)",3,0,1,0
6174757,"Harvard","Stonehill",3,0,1,0
6174758,"UTSA","Delaware",1,3,0,1
6174759,"Samford","Evansville",1,3,0,1
6174760,"Columbia","Fordham",0,3,0,1
6174761,"Long Beach St.","Washington",1,3,0,1
6174762,"Central Ark.","Southeastern La.",1,3,0,1
6174763,"UConn","Hofstra",1,3,0,1
6174764,"Saint Francis (PA)","Manhattan",3,0,1,0
6174765,"Colorado","Xavier",3,0,1,0
6174766,"New Mexico St.","San Francisco",3,2,1,0
6174767,"Northwestern St.","Tulsa",0,3,0,1
6174768,"Boston College","Tennessee",0,3,0,1
6174769,"Lafayette","Northeastern",2,3,0,1
6174770,"Lindenwood","ULM",3,1,1,0
6174771,"Jacksonville","The Citadel",2,3,0,1
6174772,"Bellarmine","Southern Ind.",3,0,1,0
6174773,"Tennessee Tech","Kennesaw St.",1,3,0,1
6174774,"Washington St.","Drake",3,1,1,0
6174775,"Arkansas","Colorado St.",3,2,1,0
6174776,"Central Mich.","Saint Louis",3,2,1,0
6174777,"Louisville","South Dakota",3,0,1,0
6174778,"Fordham","Quinnipiac",3,1,1,0
6174779,"UC Irvine","Jacksonville St.",3,0,1,0
6174780,"Oral Roberts","UC Riverside",3,0,1,0
6174781,"Old Dominion","Utah Valley",3,2,1,0
6174782,"Arizona St.","San Francisco",3,1,1,0
6174783,"Nicholls","Cal Poly",0,3,0,1
6174784,"Montana St.","California Baptist",3,1,1,0
6174785,"Idaho St.","FGCU",0,3,0,1
6174786,"North Dakota","Providence",2,3,0,1
6174787,"Houston Christian","UTRGV",3,2,1,0
6174788,"CSU Bakersfield","St. John's (NY)",2,3,0,1
6174789,"Loyola Chicago","Texas A&M",0,3,0,1
6174790,"Montana","DePaul",1,3,0,1
6174791,"Holy Cross","Stonehill",3,2,1,0
6174793,"North Florida","TCU",1,3,0,1
6174794,"UNCW","Queens (NC)",3,0,1,0
6174795,"North Dakota St.","Ohio",1,3,0,1
6174796,"Cornell","William & Mary",2,3,0,1
6174797,"Alabama St.","FIU",0,3,0,1
6174798,"Cal St. Fullerton","San Jose St.",0,3,0,1
6174799,"Siena","Lafayette",1,3,0,1
6174800,"Col. of Charleston","George Washington",3,0,1,0
6174801,"Western Ill.","Oakland",1,3,0,1
6174802,"Morgan St.","FDU",3,2,1,0
6174803,"UT Arlington","Presbyterian",3,0,1,0
6174804,"Gonzaga","Idaho",3,1,1,0
6174805,"American","Central Conn. St.",3,0,1,0
6174806,"Miami (OH)","Fla. Atlantic",1,3,0,1
6174807,"Marshall","Akron",2,3,0,1
6174808,"Robert Morris","Canisius",3,1,1,0
6174809,"Nevada","Seattle U",2,3,0,1
6174810,"Bethune-Cookman","Campbell",0,3,0,1
6174811,"Akron","UNC Greensboro",3,0,1,0
6174812,"Hofstra","Merrimack",3,0,1,0
6174813,"Alabama","Alabama A&M",3,0,1,0
6174814,"USC Upstate","South Carolina St.",3,0,1,0
6174815,"James Madison","Western Ky.",3,0,1,0
6174816,"Liberty","Yale",3,1,1,0
6174817,"Saint Francis (PA)","Purdue Fort Wayne",2,3,0,1
6174818,"Kennesaw St.","ETSU",3,1,1,0
6174819,"Wyoming","Louisiana",3,2,1,0
6174820,"Rhode Island","Le Moyne",3,1,1,0
6174821,"Towson","Dartmouth",3,0,1,0
6174822,"Davidson","NIU",3,1,1,0
6174823,"Columbia","Virginia",2,3,0,1
6174824,"Oklahoma","Boise St.",3,1,1,0
6174825,"Niagara","Princeton",0,3,0,1
6174826,"New Orleans","Southern Ind.",1,3,0,1
6174827,"UAlbany","Saint Louis",1,3,0,1
6174828,"Iowa St.","LIU",3,0,1,0
6174829,"ULM","Austin Peay",2,3,0,1
6174830,"George Mason","Saint Peter's",3,0,1,0
6174831,"UT Martin","Kansas City",1,3,0,1
6174832,"Virginia Tech","Youngstown St.",3,0,1,0
6174833,"Sacramento St.","Portland",3,1,1,0
6174834,"Miami (FL)","Troy",3,0,1,0
6174835,"Arkansas St.","Penn",3,0,1,0
6174836,"Dayton","Butler",3,0,1,0
6174837,"UIC","Western Mich.",1,3,0,1
6174838,"Ga. Southern","Stetson",3,0,1,0
6174839,"Wofford","Elon",3,0,1,0
6174840,"Bryant","Lafayette",3,0,1,0
6174841,"Marshall","Coppin St.",2,3,0,1
6174842,"Harvard","New Hampshire",3,2,1,0
6174843,"Kansas","Marquette",3,1,1,0
6174844,"Army West Point","High Point",1,3,0,1
6174845,"Central Ark.","Little Rock",3,1,1,0
6174846,"Jacksonville","Florida A&M",3,0,1,0
6174847,"Texas Southern","A&M-Corpus Christi",0,3,0,1
6174848,"Louisiana Tech","UIW",1,3,0,1
6174849,"Illinois St.","Wichita St.",0,3,0,1
6174850,"Iona","Georgetown",3,1,1,0
6174851,"Delaware","Lamar University",3,0,1,0
6174852,"Oregon","Pepperdine",3,0,1,0
6174853,"Auburn","SMU",3,1,1,0
6174854,"Eastern Mich.","Western Ill.",3,2,1,0
6174855,"Eastern Wash.","Pacific",0,3,0,1
6174856,"New Mexico","Utah Tech",2,3,0,1
6174857,"SFA","Southern Miss.",3,2,1,0
6174858,"Charleston So.","Southern Ill.",3,0,1,0
6174859,"IUPUI","Eastern Ill.",1,3,0,1
6174860,"UConn","Merrimack",3,1,1,0
6174861,"Bucknell","Cornell",3,0,1,0
6174862,"Bowling Green","Wright St.",3,1,1,0
6174863,"Saint Mary's (CA)","Portland St.",3,1,1,0
6174864,"Texas Tech","Tex. A&M-Commerce",3,0,1,0
6174865,"California","Southern Utah",3,0,1,0
6174866,"Utah St.","LMU (CA)",3,2,1,0
6174867,"South Fla.","Mercer",3,0,1,0
6174868,"St. Thomas (MN)","Milwaukee",0,3,0,1
6174869,"USC Upstate","Georgia St.",3,0,1,0
6174870,"Tennessee Tech","Cincinnati",0,3,0,1
6174871,"Tulane","Sam Houston",1,3,0,1
6174872,"Weber St.","UNLV",3,2,1,0
6174873,"Green Bay","Western Caro.",2,3,0,1
6174874,"Evansville","North Ala.",3,1,1,0
6174875,"Northern Ariz.","The Citadel",0,3,0,1
6174876,"Stony Brook","Manhattan",3,0,1,0
6174877,"Cleveland St.","Eastern Ky.",0,3,0,1
6174878,"UMES","Central Conn. St.",3,1,1,0
6174879,"Fairfield","UMBC",1,3,0,1
6174880,"Toledo","Memphis",3,1,1,0
6174881,"Bellarmine","Murray St.",1,3,0,1
6174882,"Missouri","South Dakota",3,0,1,0
6174883,"Chicago St.","Southeast Mo. St.",3,0,1,0
6174884,"Queens (NC)","NIU",3,2,1,0
6174885,"East Carolina","App State",2,3,0,1
6174886,"Lindenwood","Indiana St.",3,1,1,0
6174887,"Buffalo","Binghamton",3,0,1,0
6174888,"Coastal Carolina","Georgia",1,3,0,1
6174889,"Missouri St.","Ark.-Pine Bluff",3,0,1,0
6174890,"Seton Hall","Saint Peter's",3,0,1,0
6174891,"San Diego St.","UC Santa Barbara",0,3,0,1
6174892,"Texas St.","Houston",3,0,1,0
6174893,"UTSA","Tarleton St.",2,3,0,1
6174894,"Chattanooga","N.C. A&T",3,0,1,0
6174895,"UAB","SIUE",3,2,1,0
6174896,"Middle Tenn.","South Dakota St.",3,0,1,0
6174897,"Prairie View","UTRGV",0,3,0,1
6174898,"Air Force","Idaho",3,0,1,0
6174899,"Ball St.","UNI",0,3,0,1
6174900,"Central Mich.","Bradley",3,2,1,0
6174901,"Duke","West Virginia",3,2,1,0
6174902,"Abilene Christian","Grambling",3,0,1,0
6174903,"Gardner-Webb","N.C. Central",3,0,1,0
6174904,"Stonehill","New Hampshire",0,3,0,1
6174905,"Northeastern","Siena",3,1,1,0
6174906,"Purdue Fort Wayne","Manhattan",3,1,1,0
6174907,"Hofstra","Lehigh",2,3,0,1
6174908,"LIU","Arizona",0,3,0,1
6174909,"Valparaiso","Oakland",3,0,1,0
6174910,"VCU","Radford",3,1,1,0
6174911,"BYU","UC Davis",3,0,1,0
6174912,"Creighton","LSU",3,0,1,0
6174913,"American","Marist",3,1,1,0
6174914,"San Diego","Boston College",3,1,1,0
6174915,"Northern Colo.","Xavier",3,0,1,0
6174916,"Niagara","William & Mary",0,3,0,1
6174917,"FIU","Mississippi St.",0,3,0,1
6174918,"Drake","Northwestern St.",3,0,1,0
6174919,"Santa Clara","Notre Dame",3,2,1,0
6174920,"Clemson","South Alabama",0,3,0,1
6174921,"North Carolina","Loyola Maryland",3,0,1,0
6174922,"NC State","Winthrop",3,0,1,0
6174923,"Gonzaga","UC San Diego",1,3,0,1
6174924,"Lipscomb","Tennessee St.",3,0,1,0
6174925,"Rhode Island","Brown",1,3,0,1
6174926,"Davidson","UNCW",3,1,1,0
6174927,"Morgan St.","Rider",0,3,0,1
6174928,"UT Arlington","Louisiana Tech",3,0,1,0
6174929,"Washington St.","Tulsa",3,0,1,0
6174930,"Robert Morris","Duquesne",1,3,0,1
6174931,"Colorado","Charlotte",3,0,1,0
6174932,"Miami (OH)","Eastern Ky.",0,3,0,1
6174933,"Dayton","Ohio",3,2,1,0
6174934,"Bucknell","Princeton",0,3,0,1
6174935,"Texas Tech","Louisiana",3,0,1,0
6174936,"Bryant","Northeastern",2,3,0,1
6174937,"Hawaii","Southern California",3,1,1,0
6174938,"Navy","Old Dominion",3,1,1,0
6174939,"Towson","Temple",3,0,1,0
6174940,"Harvard","Holy Cross",3,1,1,0
6174941,"Columbia","Quinnipiac",0,3,0,1
6174942,"Long Beach St.","UCLA",1,3,0,1
6174943,"Grand Canyon","Iowa St.",2,3,0,1
6174944,"UConn","Lehigh",2,3,0,1
6174945,"Saint Francis (PA)","Stony Brook",3,2,1,0
6174946,"UCF","Wake Forest",2,3,0,1
6174947,"Texas","Stanford",0,3,0,1
6174948,"Oregon St.","Boise St.",3,0,1,0
6174949,"Belmont","Syracuse",3,0,1,0
6174950,"Alabama","Sam Houston",3,1,1,0
6174951,"South Alabama","Western Caro.",3,0,1,0
6174953,"Army West Point","Yale",1,3,0,1
6174954,"Northern Ky.","South Dakota",3,2,1,0
6174955,"Kent St.","Middle Tenn.",0,3,0,1
6174956,"Towson","Rider",3,0,1,0
6174957,"South Carolina","Troy",3,1,1,0
6174958,"New Mexico St.","Arizona St.",1,3,0,1
6174959,"Morgan St.","Temple",0,3,0,1
6174960,"UC Irvine","Boston College",1,3,0,1
6174961,"Charlotte","Xavier",3,0,1,0
6174962,"LSU","Ball St.",3,1,1,0
6174963,"FIU","Wake Forest",0,3,0,1
6174964,"VCU","Georgetown",0,3,0,1
6174965,"Samford","North Ala.",3,1,1,0
6174966,"Grand Canyon","Arizona",2,3,0,1
6174967,"Florida St.","Auburn",1,3,0,1
6174968,"Clemson","Green Bay",3,0,1,0
6174969,"Creighton","UNI",3,1,1,0
6174970,"Missouri","Louisville",0,3,0,1
6174971,"Tulane","Alabama A&M",3,0,1,0
6174972,"Central Ark.","Colorado St.",2,3,0,1
6174973,"UCF","Alabama St.",3,0,1,0
6174974,"Villanova","Santa Clara",3,1,1,0
6174976,"Samford","Florida St.",0,3,0,1
6174977,"Sacramento St.","Saint Mary's (CA)",1,3,0,1
6174978,"North Texas","Texas Tech",3,2,1,0
6174979,"Portland St.","Utah",3,1,1,0
6174980,"Jackson St.","ULM",3,2,1,0
6174981,"LIU","Fairfield",3,0,1,0
6174984,"Virginia","Old Dominion",3,2,1,0
6174985,"Loyola Maryland","Coppin St.",0,3,0,1
6174986,"Western Caro.","UNC Asheville",3,0,1,0
6174987,"Eastern Ky.","Marshall",3,0,1,0
6174988,"Wofford","High Point",2,3,0,1
6174989,"Charleston So.","Col. of Charleston",0,3,0,1
6174990,"Campbell","N.C. Central",3,2,1,0
6174991,"Rice","Stanford",0,3,0,1
6174992,"Abilene Christian","Texas Tech",3,1,1,0
6174993,"Alabama St.","North Ala.",1,3,0,1
6174994,"Texas Southern","Northwestern St.",1,3,0,1
6174995,"Tex. A&M-Commerce","Prairie View",1,3,0,1
6174996,"Duke","Elon",3,0,1,0
6174997,"McNeese","Southern U.",3,0,1,0
6174998,"Ark.-Pine Bluff","Ark.-Monticello",3,0,1,0
6174999,"UTRGV","A&M-Corpus Christi",3,1,1,0
6175000,"FDU","NJIT",2,3,0,1
6175001,"Furman","USC Upstate",3,0,1,0
6175002,"Brown","Stonehill",3,0,1,0
6175003,"Sacred Heart","Hofstra",0,3,0,1
6175004,"Binghamton","Le Moyne",3,0,1,0
6175005,"Princeton","Santa Clara",0,3,0,1
6175006,"LSU","Louisiana",3,1,1,0
6175007,"Southern Ill.","Lindenwood",3,1,1,0
6175008,"Cleveland St.","Akron",3,1,1,0
6175009,"Chattanooga","Austin Peay",3,1,1,0
6175010,"North Texas","SFA",2,3,0,1
6175011,"Washington St.","UC Irvine",3,0,1,0
6175012,"Lafayette","Saint Peter's",3,0,1,0
6175013,"Mississippi Val.","Lane",3,0,1,0
6175014,"Stony Brook","Columbia",3,0,1,0
6175015,"SMU","Baylor",3,2,1,0
6175016,"Dayton","Louisville",2,3,0,1
6175017,"California","Saint Mary's (CA)",3,1,1,0
6175018,"Penn","Villanova",2,3,0,1
6175019,"Bryant","Holy Cross",3,0,1,0
6175020,"Cornell","Syracuse",1,3,0,1
6175021,"Georgia","Jacksonville",3,0,1,0
6175022,"BYU","Towson",3,1,1,0
6175023,"Prairie View","Weber St.",0,3,0,1
