"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174035,"Illinois","Penn St.",0,3,0,1
6174037,"Nebraska","Lipscomb",3,0,1,0
6174038,"Nebraska","SMU",3,0,1,0
6174039,"Nebraska","Omaha",3,0,1,0
6174040,"Kansas St.","Nebraska",0,3,0,1
6174041,"Nebraska","Creighton",3,1,1,0
6174042,"Nebraska","Long Beach St.",3,0,1,0
6174043,"Stanford","Nebraska",1,3,0,1
6174047,"Illinois","Valparaiso",3,0,1,0
6174048,"Illinois","Wichita St.",2,3,0,1
6174049,"Illinois","Illinois St.",3,1,1,0
6174050,"Illinois","Oklahoma",0,3,0,1
6174052,"Florida","Penn St.",3,1,1,0
6174053,"Penn St.","James Madison",3,1,1,0
6174054,"Temple","Penn St.",0,3,0,1
6174055,"Louisville","Penn St.",3,0,1,0
6174056,"Penn St.","Seton Hall",3,1,1,0
6174057,"N.C. A&T","Rutgers",0,3,0,1
6174058,"Rutgers","Winthrop",3,0,1,0
6174059,"Rutgers","Howard",3,0,1,0
6174060,"Morgan St.","Rutgers",0,3,0,1
6174061,"Columbia","Rutgers",1,3,0,1
6174062,"Rutgers","Princeton",2,3,0,1
6174064,"Penn St.","Georgia Tech",1,3,0,1
6174065,"Penn St.","Western Ky.",3,1,1,0
6174066,"Penn St.","Colgate",3,0,1,0
6174067,"Penn St.","UMBC",3,0,1,0
6174068,"Penn St.","Rutgers",3,0,1,0
6174069,"NC State","Rutgers",3,2,1,0
6174070,"Rider","Rutgers",1,3,0,1
6174071,"Rutgers","Marist",3,0,1,0
6174072,"Georgia St.","South Carolina St.",3,0,1,0
6174073,"Oklahoma","Gonzaga",3,0,1,0
6174074,"Sam Houston","Nicholls",3,1,1,0
6174075,"UTEP","Washington",3,2,1,0
6174076,"Tarleton St.","Prairie View",2,3,0,1
6174077,"Memphis","Alcorn",3,0,1,0
6174078,"Arizona","UC Davis",1,3,0,1
6174079,"CSU Bakersfield","Eastern Wash.",3,0,1,0
6174080,"UTSA","Texas Southern",3,0,1,0
6174081,"Chattanooga","New Orleans",3,0,1,0
6174082,"Buffalo","Austin Peay",3,0,1,0
6174083,"Furman","Quinnipiac",3,2,1,0
6174084,"FDU","Kansas City",1,3,0,1
6174085,"Bellarmine","Tennessee Tech",0,3,0,1
6174086,"Elon","Coastal Carolina",0,3,0,1
6174087,"Marquette","Western Ky.",1,3,0,1
6174088,"Marshall","The Citadel",0,3,0,1
6174089,"North Ala.","Louisiana Tech",3,2,1,0
6174090,"Texas St.","Marist",3,0,1,0
6174091,"Jackson St.","SFA",0,3,0,1
6174092,"Saint Louis","Mississippi Val.",3,0,1,0
6174093,"Saint Louis","Mercer",3,2,1,0
6174094,"Toledo","Northeastern",3,2,1,0
6174095,"Texas Tech","Houston Christian",3,2,1,0
6174096,"Youngstown St.","Canisius",3,2,1,0
6174097,"Army West Point","Fairfield",2,3,0,1
6174098,"Southeast Mo. St.","Evansville",3,0,1,0
6174099,"Morehead St.","Stonehill",3,0,1,0
6174100,"Syracuse","Navy",0,3,0,1
6174101,"Coppin St.","McNeese",3,0,1,0
6174102,"Valparaiso","Akron",3,0,1,0
6174103,"Lindenwood","Oakland",3,2,1,0
6174104,"Seton Hall","New Mexico",0,3,0,1
6174105,"South Dakota St.","Green Bay",0,3,0,1
6174106,"Cleveland St.","Murray St.",3,2,1,0
6174107,"Miami (OH)","Samford",0,3,0,1
6174108,"Eastern Mich.","SIUE",1,3,0,1
6174109,"Northwestern St.","Eastern Ky.",1,3,0,1
6174110,"A&M-Corpus Christi","Portland",1,3,0,1
6174111,"Arkansas St.","Little Rock",3,0,1,0
6174112,"Utah Valley","NC State",1,3,0,1
6174113,"Temple","Iona",3,0,1,0
6174114,"Wyoming","Winthrop",3,0,1,0
6174115,"Charlotte","Charleston So.",3,0,1,0
6174116,"Butler","Kent St.",3,0,1,0
6174117,"UIC","St. Thomas (MN)",3,2,1,0
6174118,"Fla. Atlantic","Holy Cross",3,0,1,0
6174119,"North Dakota","Kennesaw St.",0,3,0,1
6174120,"Davidson","Le Moyne",3,0,1,0
6174121,"UC San Diego","Fresno St.",3,1,1,0
6174122,"Bucknell","Stony Brook",0,3,0,1
6174123,"Manhattan","Saint Mary's (CA)",0,3,0,1
6174124,"East Carolina","UNC Greensboro",3,0,1,0
6174125,"Belmont","Saint Francis (PA)",2,3,0,1
6174126,"Santa Clara","CSUN",3,2,1,0
6174127,"App State","William & Mary",3,0,1,0
6174128,"Virginia Tech","Morgan St.",3,0,1,0
6174129,"Southeastern La.","Grambling",3,0,1,0
6174130,"Montana St.","Oregon St.",3,2,1,0
6174131,"Alabama","Mississippi Val.",3,0,1,0
6174132,"Weber St.","Utah Tech",3,2,1,0
6174133,"Missouri St.","Tex. A&M-Commerce",3,0,1,0
6174134,"Ark.-Pine Bluff","UIW",0,3,0,1
6174135,"Eastern Ill.","ULM",3,0,1,0
6174136,"UNC Asheville","Alabama A&M",3,0,1,0
6174137,"New Hampshire","Southern Ind.",3,1,1,0
6174138,"Central Ark.","Colgate",1,3,0,1
6174139,"Wright St.","Washington St.",0,3,0,1
6174140,"USC Upstate","Queens (NC)",3,1,1,0
6174141,"Northeastern","Grand Canyon",0,3,0,1
6174142,"Bethune-Cookman","Marshall",0,3,0,1
6174143,"Ohio","UMBC",2,3,0,1
6174144,"Wichita St.","Notre Dame",2,3,0,1
6174145,"Idaho","Seattle U",0,3,0,1
6174146,"Nicholls","Portland",3,1,1,0
6174147,"BYU","Pittsburgh",3,1,1,0
6174149,"Cal St. Fullerton","San Diego St.",1,3,0,1
6174150,"North Carolina","Pacific",3,2,1,0
6174151,"Alabama A&M","N.C. Central",3,2,1,0
6174152,"McNeese","Jacksonville St.",2,3,0,1
6174153,"Florida St.","Western Caro.",3,0,1,0
6174154,"Providence","Southern Utah",1,3,0,1
6174155,"Tennessee Tech","William & Mary",2,3,0,1
