"rank","teams","pts"
282,"Duquesne",0.458
283,"ETSU",0.458
284,"Bellarmine",0.458
285,"ULM",0.457
286,"Dartmouth",0.456
287,"UMES",0.455
288,"Tennessee St.",0.454
289,"Jacksonville St.",0.453
290,"Purdue Fort Wayne",0.453
291,"LIU",0.452
292,"UNC Asheville",0.452
293,"Cornell",0.452
294,"Cal St. Fullerton",0.451
295,"Penn",0.45
296,"Oral Roberts",0.45
297,"Elon",0.45
298,"UT Martin",0.45
299,"FDU",0.449
300,"UC Riverside",0.449
301,"Jackson St.",0.448
302,"Tex. A&M-Commerce",0.448
303,"Little Rock",0.445
304,"Canisius",0.445
305,"Sacred Heart",0.444
306,"Queens (NC)",0.443
307,"Georgia St.",0.443
308,"Rider",0.443
309,"Rhode Island",0.442
310,"N.C. Central",0.441
311,"Presbyterian",0.439
312,"Nicholls",0.438
313,"Grambling",0.438
314,"UAlbany",0.438
315,"Lafayette",0.438
316,"Syracuse",0.437
317,"Columbia",0.436
318,"UNC Greensboro",0.435
319,"NJIT",0.433
320,"Marist",0.432
321,"Radford",0.43
322,"Norfolk St.",0.43
323,"Idaho",0.424
324,"Holy Cross",0.423
325,"Niagara",0.417
326,"Morgan St.",0.417
327,"Southern U.",0.416
328,"Lamar University",0.413
329,"New Orleans",0.41
330,"Stonehill",0.408
331,"Alabama A&M",0.406
332,"Siena",0.403
333,"Merrimack",0.398
334,"Central Conn. St.",0.396
335,"Bethune-Cookman",0.392
336,"Manhattan",0.39
337,"Texas Southern",0.38
338,"Bowie St.",0.373
339,"Saint Peter's",0.365
340,"Le Moyne",0.356
341,"Ark.-Pine Bluff",0.347
342,"Hampton",0.346
343,"South Carolina St.",0.345
344,"Alcorn",0.333
345,"Ark.-Monticello",0.308
346,"Mississippi Val.",0.289
347,"Lane",0.234
348,"LeMoyne-Owen",0.233
