"rank","teams","pts"
1,"Nebraska",0.646
2,"Pittsburgh",0.627
3,"Wisconsin",0.618
4,"Louisville",0.617
5,"Oregon",0.615
6,"Arizona St.",0.613
7,"Tennessee",0.609
8,"Stanford",0.607
9,"Georgia Tech",0.604
10,"Florida",0.6
11,"Texas",0.598
12,"Wright St.",0.598
13,"Minnesota",0.597
14,"BYU",0.595
15,"Texas A&M",0.593
16,"Kansas",0.591
17,"Arkansas",0.59
18,"Penn St.",0.589
19,"Dayton",0.587
20,"Creighton",0.587
21,"Kentucky",0.584
22,"Houston",0.583
23,"Indiana",0.578
24,"TCU",0.577
25,"Utah St.",0.575
26,"Purdue",0.574
27,"Iowa St.",0.574
28,"Washington St.",0.574
29,"Baylor",0.573
30,"Western Ky.",0.573
31,"Northwestern",0.573
32,"LMU (CA)",0.569
33,"Western Mich.",0.569
34,"Ohio St.",0.569
35,"California",0.568
36,"UCF",0.568
37,"Florida St.",0.567
38,"SMU",0.567
39,"Marquette",0.566
40,"UCLA",0.565
41,"UC Santa Barbara",0.564
42,"Long Beach St.",0.564
43,"Kansas St.",0.563
44,"San Diego",0.563
45,"Drake",0.562
46,"LSU",0.561
47,"Colorado",0.559
48,"Georgia",0.559
49,"UNI",0.559
50,"Hawaii",0.559
51,"Pepperdine",0.558
52,"Washington",0.557
53,"Rice",0.555
54,"Southern California",0.554
55,"Colorado St.",0.553
56,"Miami (FL)",0.553
57,"Michigan St.",0.553
58,"Ga. Southern",0.551
59,"Duke",0.55
60,"Auburn",0.55
61,"SFA",0.549
62,"Cincinnati",0.547
63,"Wichita St.",0.547
64,"South Alabama",0.546
65,"Navy",0.546
66,"Portland St.",0.546
67,"NC State",0.545
68,"Mississippi St.",0.545
69,"Utah",0.543
70,"Oklahoma",0.543
71,"Wake Forest",0.543
72,"UNLV",0.543
73,"Pacific",0.543
74,"Ohio",0.543
75,"East Carolina",0.543
76,"UTEP",0.541
77,"Grand Canyon",0.541
78,"Notre Dame",0.541
79,"Bowling Green",0.541
80,"Weber St.",0.54
81,"UIC",0.539
82,"Maryland",0.537
83,"Buffalo",0.537
84,"Eastern Ill.",0.537
85,"Michigan",0.536
86,"Loyola Chicago",0.535
87,"New Mexico",0.535
88,"Arizona",0.535
89,"North Carolina",0.534
90,"Boston College",0.534
91,"South Carolina",0.534
92,"Towson",0.533
93,"James Madison",0.533
94,"Clemson",0.533
95,"Virginia Tech",0.532
96,"Texas St.",0.532
97,"Ole Miss",0.53
98,"High Point",0.53
99,"UC Davis",0.53
100,"Missouri",0.53
101,"Oregon St.",0.53
102,"FGCU",0.529
103,"Wyoming",0.528
104,"Lipscomb",0.528
105,"App State",0.528
106,"Illinois",0.527
107,"Davidson",0.527
108,"Southeastern La.",0.527
109,"New Mexico St.",0.527
110,"Liberty",0.527
111,"Villanova",0.527
112,"Alabama",0.527
113,"Colgate",0.527
114,"Eastern Ky.",0.526
115,"North Texas",0.526
116,"Omaha",0.526
117,"Ball St.",0.525
118,"Louisiana",0.524
119,"UMBC",0.524
120,"Sacramento St.",0.524
121,"Temple",0.524
122,"Northern Colo.",0.523
123,"Butler",0.523
124,"Southern Miss.",0.522
125,"North Dakota St.",0.522
126,"Xavier",0.522
127,"Texas Tech",0.522
128,"Troy",0.521
129,"Tulsa",0.52
130,"UTRGV",0.52
131,"UTSA",0.52
132,"Saint Mary's (CA)",0.52
133,"Kennesaw St.",0.519
134,"San Jose St.",0.519
135,"DePaul",0.519
136,"Rutgers",0.519
137,"Cal Poly",0.519
138,"South Fla.",0.519
139,"Middle Tenn.",0.518
140,"Milwaukee",0.518
141,"San Diego St.",0.518
142,"San Francisco",0.517
143,"Brown",0.516
144,"Wofford",0.516
145,"Coastal Carolina",0.516
146,"Santa Clara",0.516
147,"UT Arlington",0.515
148,"South Dakota",0.515
149,"Virginia",0.515
150,"Delaware",0.515
151,"North Florida",0.513
152,"Northern Ky.",0.513
153,"Yale",0.512
154,"Fresno St.",0.512
155,"Iowa",0.512
156,"Air Force",0.511
157,"UC San Diego",0.51
158,"St. John's (NY)",0.509
159,"Valparaiso",0.508
