"rank","teams","pts"
1,"Nebraska",0.634
2,"Wisconsin",0.631
3,"Pittsburgh",0.627
4,"Oregon",0.62
5,"Louisville",0.614
6,"Tennessee",0.613
7,"Stanford",0.612
8,"Arizona St.",0.608
9,"Texas",0.607
10,"Georgia Tech",0.607
11,"Arkansas",0.605
12,"BYU",0.603
13,"Penn St.",0.601
14,"Minnesota",0.594
15,"Kansas",0.593
16,"Florida",0.592
17,"Dayton",0.589
18,"Texas A&M",0.588
19,"Kentucky",0.583
20,"Indiana",0.583
21,"Purdue",0.582
22,"Western Ky.",0.581
23,"Creighton",0.58
24,"Houston",0.578
25,"TCU",0.578
26,"Washington St.",0.578
27,"UCF",0.577
28,"Baylor",0.574
29,"Iowa St.",0.573
30,"SMU",0.572
31,"San Diego",0.572
32,"Marquette",0.571
33,"Wright St.",0.571
34,"Florida St.",0.57
35,"Utah St.",0.57
36,"Long Beach St.",0.568
37,"Ohio St.",0.568
38,"UC Santa Barbara",0.567
39,"Hawaii",0.566
40,"Southern California",0.565
41,"LMU (CA)",0.565
42,"Western Mich.",0.565
43,"California",0.565
44,"UCLA",0.564
45,"Pepperdine",0.563
46,"Washington",0.563
47,"Georgia",0.562
48,"Northwestern",0.562
49,"Miami (FL)",0.562
50,"Drake",0.559
51,"Kansas St.",0.558
52,"Rice",0.558
53,"LSU",0.557
54,"Michigan St.",0.556
55,"NC State",0.555
56,"SFA",0.555
57,"UNI",0.554
58,"Colorado",0.554
59,"Duke",0.552
60,"Auburn",0.55
61,"Ga. Southern",0.55
62,"Mississippi St.",0.55
63,"Colorado St.",0.547
64,"Grand Canyon",0.546
65,"Maryland",0.544
66,"Utah",0.544
67,"UTEP",0.544
68,"James Madison",0.544
69,"Wake Forest",0.544
70,"Cincinnati",0.543
71,"Wichita St.",0.543
72,"South Alabama",0.542
73,"Pacific",0.542
74,"Weber St.",0.541
75,"Ohio",0.541
76,"North Carolina",0.54
77,"Arizona",0.539
78,"Oklahoma",0.538
79,"Boston College",0.537
80,"Eastern Ky.",0.537
81,"UNLV",0.537
82,"Buffalo",0.537
83,"Portland St.",0.537
84,"UIC",0.536
85,"Loyola Chicago",0.535
86,"Colgate",0.535
87,"New Mexico St.",0.535
88,"Eastern Ill.",0.535
