"rank","teams","pts"
245,"Memphis",0.477
246,"South Dakota St.",0.475
247,"Bryant",0.473
248,"McNeese",0.473
249,"Quinnipiac",0.473
250,"USC Upstate",0.473
251,"Illinois St.",0.473
252,"Providence",0.472
253,"Lindenwood",0.472
254,"Duquesne",0.472
255,"Southern Ind.",0.472
256,"Seattle U",0.47
257,"Gonzaga",0.47
258,"Bucknell",0.47
259,"Northern Ariz.",0.469
260,"Stony Brook",0.469
261,"Green Bay",0.468
262,"Gardner-Webb",0.467
263,"Western Ill.",0.467
264,"Alabama St.",0.467
265,"Charleston So.",0.466
266,"UConn",0.466
267,"Louisiana Tech",0.466
268,"N.C. A&T",0.465
269,"Idaho St.",0.465
270,"Tennessee Tech",0.464
271,"Belmont",0.464
272,"Kent St.",0.463
273,"Robert Morris",0.463
274,"Youngstown St.",0.462
275,"Tennessee St.",0.462
276,"Eastern Mich.",0.462
277,"Prairie View",0.461
278,"Indiana St.",0.461
279,"Jacksonville St.",0.46
280,"ULM",0.46
281,"North Dakota",0.46
282,"IUPUI",0.459
283,"Miami (OH)",0.459
284,"ETSU",0.456
285,"UMES",0.456
286,"Saint Francis (PA)",0.455
287,"Iona",0.455
288,"Dartmouth",0.455
289,"Bellarmine",0.455
290,"Elon",0.454
291,"Penn",0.453
292,"UT Martin",0.453
293,"Cal St. Fullerton",0.452
294,"UC Riverside",0.452
295,"Oral Roberts",0.451
296,"Cornell",0.451
297,"Georgia St.",0.451
298,"UNC Asheville",0.45
299,"Lafayette",0.449
300,"Purdue Fort Wayne",0.449
301,"Canisius",0.448
302,"FDU",0.447
303,"Little Rock",0.445
304,"Tex. A&M-Commerce",0.445
305,"LIU",0.445
306,"Queens (NC)",0.444
307,"Sacred Heart",0.444
308,"Marist",0.442
309,"Presbyterian",0.441
310,"Jackson St.",0.441
311,"NJIT",0.44
312,"Rhode Island",0.438
313,"Grambling",0.438
314,"Rider",0.438
315,"UAlbany",0.437
316,"Nicholls",0.437
317,"Syracuse",0.437
318,"Radford",0.433
319,"Holy Cross",0.432
320,"N.C. Central",0.432
321,"Norfolk St.",0.431
